planner_type,step_size,success_mean,path_cost_mean,path_cost_std,path_cost_min,path_cost_max,iterations_mean,iterations_std,iterations_min,iterations_max,runtime_mean,runtime_std,runtime_min,runtime_max,nodes_mean,nodes_std
heuristic_rrt,0.5,0.95,10.78,2.37,5.57,22.7,139.36,203.91,14,1000,0.11,0.32,0.0,2.33,105.87,109.95
heuristic_rrt,0.6,0.96,10.85,2.43,5.58,24.69,125.39,200.13,9,1000,0.1,0.31,0.0,2.3,93.53,106.91
heuristic_rrt,0.7,0.96,10.96,2.5,5.38,23.29,113.4,190.76,9,1000,0.09,0.3,0.0,2.36,84.95,104.25
heuristic_rrt,0.8,0.96,11.12,2.61,5.27,23.69,109.08,192.53,8,1000,0.08,0.3,0.0,2.62,80.25,104.04
heuristic_rrt,0.9,0.96,11.28,2.7,5.42,27.39,106.56,193.71,6,1000,0.08,0.3,0.0,2.71,77.98,106.86
heuristic_rrt,1.0,0.95,11.54,2.84,5.24,26.5,121.86,217.04,6,1000,0.11,0.37,0.0,3.32,89.8,136.13
heuristic_rrt,1.1,0.65,11.15,2.77,5.53,26.71,384.27,451.95,5,1000,0.86,1.2,0.0,3.86,335.44,415.59
heuristic_rrt,1.2,0.51,11.04,2.81,5.16,24.45,510.26,477.29,5,1000,1.21,1.28,0.0,3.5,449.14,445.43
heuristic_rrt,1.3,0.42,10.98,2.85,5.25,27.54,598.21,473.13,4,1000,1.44,1.28,0.0,3.2,525.74,445.42
heuristic_rrt,1.4,0.36,10.83,2.87,5.61,24.28,656.49,461.35,4,1000,1.58,1.25,0.0,3.19,573.23,437.24
heuristic_rrt,1.5,0.31,10.78,2.9,6.02,25.88,705.03,444.85,4,1000,1.71,1.21,0.0,3.16,612.55,424.65
naive_rrt,0.5,0.0,6.98,0.73,5.5,8.94,999.44,16.38,187,1000,0.09,0.01,0.01,0.18,946.29,96.44
naive_rrt,0.6,0.01,7.43,1.11,5.27,11.82,995.59,47.85,88,1000,0.1,0.02,0.01,0.17,935.67,103.82
naive_rrt,0.7,0.03,7.8,1.2,5.37,12.26,986.03,88.03,49,1000,0.1,0.02,0.0,0.18,918.76,125.96
naive_rrt,0.8,0.06,8.03,1.46,5.25,14.06,969.28,137.27,25,1000,0.11,0.02,0.0,0.19,896.5,159.28
naive_rrt,0.9,0.1,8.43,1.62,5.45,17.3,947.32,180.95,12,1000,0.11,0.03,0.0,0.21,869.32,192.06
naive_rrt,1.0,0.14,8.89,1.93,5.24,20.43,922.15,218.81,14,1000,0.11,0.04,0.0,0.24,839.93,221.3
naive_rrt,1.1,0.19,9.31,2.17,5.51,18.87,892.44,254.46,8,1000,0.12,0.04,0.0,0.19,806.72,249.24
naive_rrt,1.2,0.24,9.78,2.38,5.17,20.76,857.53,288.35,9,1000,0.12,0.05,0.0,0.24,768.74,275.28
naive_rrt,1.3,0.29,10.22,2.65,5.24,22.58,822.04,313.62,6,1000,0.12,0.05,0.0,0.24,731.58,294.61
naive_rrt,1.4,0.35,10.68,2.89,5.66,24.12,785.74,335.76,6,1000,0.12,0.06,0.0,0.24,693.7,310.66
naive_rrt,1.5,0.4,11.08,3.15,6.01,24.49,746.79,354.7,4,1000,0.12,0.06,0.0,0.25,653.46,323.15
rrt_star,0.5,1.0,9.06,2.23,5.14,20.88,173.57,120.99,13,1000,0.24,0.33,0.01,5.2,153.37,106.28
rrt_star,0.6,1.0,9.28,2.34,5.17,22.06,151.16,112.15,11,1000,0.19,0.28,0.0,4.88,132.57,97.32
rrt_star,0.7,1.0,9.47,2.39,5.14,20.85,135.29,104.87,8,1000,0.16,0.26,0.0,5.16,118.01,90.34
rrt_star,0.8,1.0,9.65,2.44,5.23,22.78,127.81,106.48,8,1000,0.14,0.27,0.0,5.25,110.68,90.81
rrt_star,0.9,1.0,9.87,2.55,5.18,24.81,122.36,105.95,6,1000,0.14,0.26,0.0,5.21,105.22,89.4
rrt_star,1.0,1.0,10.03,2.6,5.13,27.28,125.87,119.18,6,1000,0.15,0.33,0.0,5.35,107.56,100.3
rrt_star,1.1,1.0,10.11,2.64,5.26,23.62,139.98,143.43,6,1000,0.2,0.45,0.0,5.26,118.83,120.66
rrt_star,1.2,1.0,10.19,2.69,5.11,28.31,149.72,158.74,4,1000,0.23,0.51,0.0,5.34,126.27,132.43
rrt_star,1.3,0.99,10.3,2.75,5.16,28.6,164.48,177.67,4,1000,0.28,0.61,0.0,5.36,137.93,147.87
rrt_star,1.4,0.99,10.35,2.82,5.14,26.11,170.9,187.0,4,1000,0.3,0.64,0.0,5.33,142.38,154.23
rrt_star,1.5,0.99,10.52,2.9,5.17,27.47,183.25,198.66,4,1000,0.34,0.7,0.0,5.43,151.68,163.1
rrt_star_improved,0.5,1.0,8.02,1.99,5.02,19.97,58.26,45.83,10,938,0.04,0.06,0.0,2.91,50.01,31.34
rrt_star_improved,0.6,1.0,8.2,2.09,5.02,21.17,49.07,40.13,8,676,0.03,0.05,0.0,1.28,41.97,26.85
rrt_star_improved,0.7,1.0,8.36,2.16,5.03,22.86,42.97,35.02,7,519,0.02,0.03,0.0,1.0,36.62,23.28
rrt_star_improved,0.8,1.0,8.52,2.21,5.06,21.62,38.14,32.21,6,749,0.02,0.03,0.0,1.85,32.38,21.22
rrt_star_improved,0.9,1.0,8.72,2.29,5.02,21.54,34.71,30.98,5,710,0.02,0.03,0.0,1.66,29.33,19.85
rrt_star_improved,1.0,1.0,8.81,2.31,5.01,23.97,31.52,26.82,5,497,0.01,0.02,0.0,0.95,26.63,17.3
rrt_star_improved,1.1,1.0,8.92,2.36,5.02,23.35,29.48,26.19,4,445,0.01,0.02,0.0,0.73,24.72,16.67
rrt_star_improved,1.2,1.0,8.99,2.41,5.01,23.03,27.11,24.3,4,536,0.01,0.02,0.0,0.9,22.75,15.35
rrt_star_improved,1.3,1.0,9.08,2.44,5.17,25.57,25.65,22.84,4,481,0.01,0.02,0.0,0.76,21.49,14.51
rrt_star_improved,1.4,1.0,9.18,2.5,5.01,25.23,24.68,24.13,3,564,0.01,0.02,0.0,1.03,20.53,15.03
rrt_star_improved,1.5,1.0,9.28,2.56,5.01,27.15,23.86,25.25,3,669,0.01,0.02,0.0,1.37,19.73,15.77
rrt_star_variant,0.5,1.0,9.08,2.26,5.11,21.75,174.17,122.22,14,1000,0.25,0.34,0.01,4.98,153.84,107.19
rrt_star_variant,0.6,1.0,9.28,2.33,5.14,21.4,153.31,112.51,10,1000,0.2,0.29,0.0,5.27,134.43,97.9
rrt_star_variant,0.7,1.0,9.48,2.4,5.14,25.02,134.92,103.94,8,1000,0.16,0.25,0.0,5.27,117.53,89.48
rrt_star_variant,0.8,1.0,9.69,2.47,5.17,25.1,126.92,105.88,7,1000,0.14,0.27,0.0,5.25,109.84,89.72
rrt_star_variant,0.9,1.0,9.87,2.54,5.12,23.92,122.78,110.51,6,1000,0.14,0.3,0.0,5.34,105.62,93.35
rrt_star_variant,1.0,1.0,10.02,2.56,5.16,22.42,125.48,118.39,6,1000,0.15,0.33,0.0,5.34,107.33,99.82
rrt_star_variant,1.1,1.0,10.11,2.62,5.09,23.6,141.0,145.55,5,1000,0.2,0.45,0.0,5.35,119.56,121.66
rrt_star_variant,1.2,1.0,10.2,2.69,5.1,26.28,152.12,161.76,4,1000,0.24,0.53,0.0,5.28,128.2,134.92
rrt_star_variant,1.3,0.99,10.3,2.72,5.25,23.62,161.63,174.28,4,1000,0.27,0.59,0.0,5.34,135.51,144.87
rrt_star_variant,1.4,0.99,10.4,2.83,5.11,27.5,172.73,187.06,4,1000,0.3,0.65,0.0,5.33,143.78,154.59
rrt_star_variant,1.5,0.99,10.53,2.91,5.12,26.04,180.4,195.83,4,1000,0.33,0.69,0.0,5.36,149.14,160.6
